"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout","hunt_label","scenario_label","p1_red_pct","farm_red_pct"
0.1,0.3,0.5,"spillover",0.137644501739105,0.412,"eta[h]==0.50","Spillover",10,30
0.1,0.3,0.95,"spillover",0.114014799665867,0.468,"eta[h]==0.95","Spillover",10,30
0.1,0.35,0.2,"spillover",0.113845862851765,0.48,"eta[h]==0.20","Spillover",10,35
0.1,0.35,0.5,"spillover",0.113237148546213,0.428,"eta[h]==0.50","Spillover",10,35
0.1,0.35,0.95,"spillover",0.116865880159262,0.452,"eta[h]==0.95","Spillover",10,35
0.1,0.4,0.2,"spillover",0.0997542692073191,0.516,"eta[h]==0.20","Spillover",10,40
0.1,0.4,0.5,"spillover",0.115631413854447,0.444,"eta[h]==0.50","Spillover",10,40
0.1,0.4,0.95,"spillover",0.101213366408781,0.468,"eta[h]==0.95","Spillover",10,40
0.1,0.45,0.2,"spillover",0.110876158183854,0.496,"eta[h]==0.20","Spillover",10,45
0.1,0.45,0.5,"spillover",0.0994734209495829,0.488,"eta[h]==0.50","Spillover",10,45
0.1,0.45,0.95,"spillover",0.102615952297492,0.584,"eta[h]==0.95","Spillover",10,45
0.1,0.5,0.2,"spillover",0.100521184159209,0.564,"eta[h]==0.20","Spillover",10,50
0.1,0.5,0.5,"spillover",0.0955975857620559,0.568,"eta[h]==0.50","Spillover",10,50
0.1,0.5,0.95,"spillover",0.0939527585248472,0.568,"eta[h]==0.95","Spillover",10,50
0.1,0.55,0.2,"spillover",0.104887308551886,0.596,"eta[h]==0.20","Spillover",10,55
0.1,0.55,0.5,"spillover",0.0821482554101544,0.572,"eta[h]==0.50","Spillover",10,55
0.1,0.55,0.95,"spillover",0.0826755690748115,0.576,"eta[h]==0.95","Spillover",10,55
0.1,0.6,0.2,"spillover",0.0936574279968446,0.632,"eta[h]==0.20","Spillover",10,60
0.1,0.6,0.5,"spillover",0.0715308383709819,0.572,"eta[h]==0.50","Spillover",10,60
0.1,0.6,0.95,"spillover",0.0827827926176053,0.572,"eta[h]==0.95","Spillover",10,60
0.1,0.65,0.2,"spillover",0.0659674208110901,0.732,"eta[h]==0.20","Spillover",10,65
0.1,0.65,0.5,"spillover",0.0748452749839825,0.656,"eta[h]==0.50","Spillover",10,65
0.1,0.65,0.95,"spillover",0.0653750010519626,0.724,"eta[h]==0.95","Spillover",10,65
0.1,0.7,0.2,"spillover",0.0692229172063653,0.7,"eta[h]==0.20","Spillover",10,70
0.1,0.7,0.5,"spillover",0.0597892638757948,0.664,"eta[h]==0.50","Spillover",10,70
0.1,0.7,0.95,"spillover",0.0513048921234278,0.672,"eta[h]==0.95","Spillover",10,70
0.1,0.75,0.2,"spillover",0.0444986732643418,0.796,"eta[h]==0.20","Spillover",10,75
0.1,0.75,0.5,"spillover",0.0524017029725063,0.748,"eta[h]==0.50","Spillover",10,75
0.1,0.75,0.95,"spillover",0.0380052705124098,0.756,"eta[h]==0.95","Spillover",10,75
0.1,0.8,0.2,"spillover",0.0379394673610976,0.764,"eta[h]==0.20","Spillover",10,80
0.1,0.8,0.5,"spillover",0.0359447861207975,0.776,"eta[h]==0.50","Spillover",10,80
0.1,0.8,0.95,"spillover",0.032963829481908,0.82,"eta[h]==0.95","Spillover",10,80
0.1,0.85,0.2,"spillover",0.0357178400376311,0.828,"eta[h]==0.20","Spillover",10,85
0.1,0.85,0.5,"spillover",0.0248752382924958,0.8,"eta[h]==0.50","Spillover",10,85
0.1,0.85,0.95,"spillover",0.0390423551260617,0.824,"eta[h]==0.95","Spillover",10,85
0.1,0.9,0.2,"spillover",0.0123402389541159,0.912,"eta[h]==0.20","Spillover",10,90
0.1,0.9,0.5,"spillover",0.013540925448343,0.916,"eta[h]==0.50","Spillover",10,90
0.1,0.9,0.95,"spillover",0.0237323766430228,0.884,"eta[h]==0.95","Spillover",10,90
0.1,0.95,0.2,"spillover",0.00618826187258624,0.96,"eta[h]==0.20","Spillover",10,95
0.1,0.95,0.5,"spillover",0.00945466937537992,0.964,"eta[h]==0.50","Spillover",10,95
0.1,0.95,0.95,"spillover",0.00407061338865893,0.936,"eta[h]==0.95","Spillover",10,95
0.1,1,0.2,"spillover",0,1,"eta[h]==0.20","Spillover",10,100
0.1,1,0.5,"spillover",0,1,"eta[h]==0.50","Spillover",10,100
0.1,1,0.95,"spillover",0,1,"eta[h]==0.95","Spillover",10,100
0.15,0,0.2,"spillover",0.169017304815101,0.308,"eta[h]==0.20","Spillover",15,0
0.15,0,0.5,"spillover",0.163509522229165,0.276,"eta[h]==0.50","Spillover",15,0
0.15,0,0.95,"spillover",0.171209056062083,0.308,"eta[h]==0.95","Spillover",15,0
0.15,0.05,0.2,"spillover",0.163813836693736,0.32,"eta[h]==0.20","Spillover",15,5
0.15,0.05,0.5,"spillover",0.152647843117455,0.3,"eta[h]==0.50","Spillover",15,5
0.15,0.05,0.95,"spillover",0.164979083972447,0.244,"eta[h]==0.95","Spillover",15,5
0.15,0.1,0.2,"spillover",0.146851914495278,0.372,"eta[h]==0.20","Spillover",15,10
0.15,0.1,0.5,"spillover",0.160675386824645,0.356,"eta[h]==0.50","Spillover",15,10
0.15,0.1,0.95,"spillover",0.174694734561591,0.32,"eta[h]==0.95","Spillover",15,10
0.15,0.15,0.2,"spillover",0.151266304065968,0.344,"eta[h]==0.20","Spillover",15,15
0.15,0.15,0.5,"spillover",0.141689731481192,0.376,"eta[h]==0.50","Spillover",15,15
0.15,0.15,0.95,"spillover",0.153898382663079,0.364,"eta[h]==0.95","Spillover",15,15
0.15,0.2,0.2,"spillover",0.142568550771653,0.368,"eta[h]==0.20","Spillover",15,20
0.15,0.2,0.5,"spillover",0.14957117178659,0.436,"eta[h]==0.50","Spillover",15,20
0.15,0.2,0.95,"spillover",0.134168794211467,0.34,"eta[h]==0.95","Spillover",15,20
0.15,0.25,0.2,"spillover",0.144690842559503,0.352,"eta[h]==0.20","Spillover",15,25
0.15,0.25,0.5,"spillover",0.138530167007056,0.416,"eta[h]==0.50","Spillover",15,25
0.15,0.25,0.95,"spillover",0.133262332277037,0.38,"eta[h]==0.95","Spillover",15,25
0.15,0.3,0.2,"spillover",0.128934476126538,0.36,"eta[h]==0.20","Spillover",15,30
0.15,0.3,0.5,"spillover",0.13494410306313,0.384,"eta[h]==0.50","Spillover",15,30
0.15,0.3,0.95,"spillover",0.121731426243126,0.424,"eta[h]==0.95","Spillover",15,30
0.15,0.35,0.2,"spillover",0.123100667011353,0.448,"eta[h]==0.20","Spillover",15,35
0.15,0.35,0.5,"spillover",0.131369649638255,0.432,"eta[h]==0.50","Spillover",15,35
0.15,0.35,0.95,"spillover",0.132945360016693,0.468,"eta[h]==0.95","Spillover",15,35
0.15,0.4,0.2,"spillover",0.114583925248781,0.488,"eta[h]==0.20","Spillover",15,40
0.15,0.4,0.5,"spillover",0.0942414137811608,0.508,"eta[h]==0.50","Spillover",15,40
0.15,0.4,0.95,"spillover",0.117873305410024,0.412,"eta[h]==0.95","Spillover",15,40
0.15,0.45,0.2,"spillover",0.104475220679301,0.464,"eta[h]==0.20","Spillover",15,45
0.15,0.45,0.5,"spillover",0.111499665760554,0.512,"eta[h]==0.50","Spillover",15,45
0.15,0.45,0.95,"spillover",0.0983752176948108,0.476,"eta[h]==0.95","Spillover",15,45
0.15,0.5,0.2,"spillover",0.0913854012045098,0.54,"eta[h]==0.20","Spillover",15,50
0.15,0.5,0.5,"spillover",0.113393957840857,0.424,"eta[h]==0.50","Spillover",15,50
0.15,0.5,0.95,"spillover",0.0942645194279576,0.528,"eta[h]==0.95","Spillover",15,50
0.15,0.55,0.2,"spillover",0.0627251888704527,0.564,"eta[h]==0.20","Spillover",15,55
0.15,0.55,0.5,"spillover",0.0807485275671414,0.568,"eta[h]==0.50","Spillover",15,55
0.15,0.55,0.95,"spillover",0.0753458273978025,0.568,"eta[h]==0.95","Spillover",15,55
0.15,0.6,0.2,"spillover",0.069997635074043,0.6,"eta[h]==0.20","Spillover",15,60
0.15,0.6,0.5,"spillover",0.0709358439951186,0.644,"eta[h]==0.50","Spillover",15,60
0.15,0.6,0.95,"spillover",0.0795155338068656,0.632,"eta[h]==0.95","Spillover",15,60
0.15,0.65,0.2,"spillover",0.057359908431463,0.652,"eta[h]==0.20","Spillover",15,65
0.15,0.65,0.5,"spillover",0.0646856759861203,0.68,"eta[h]==0.50","Spillover",15,65
0.15,0.65,0.95,"spillover",0.0644692228172493,0.636,"eta[h]==0.95","Spillover",15,65
0.15,0.7,0.2,"spillover",0.0443892916434195,0.688,"eta[h]==0.20","Spillover",15,70
0.15,0.7,0.5,"spillover",0.0633104351833356,0.7,"eta[h]==0.50","Spillover",15,70
0.15,0.7,0.95,"spillover",0.0601657110679308,0.716,"eta[h]==0.95","Spillover",15,70
0.15,0.75,0.2,"spillover",0.0468802403429708,0.688,"eta[h]==0.20","Spillover",15,75
0.15,0.75,0.5,"spillover",0.0465074244098246,0.756,"eta[h]==0.50","Spillover",15,75
0.15,0.75,0.95,"spillover",0.0427812213162284,0.704,"eta[h]==0.95","Spillover",15,75
0.15,0.8,0.2,"spillover",0.0434555486885166,0.824,"eta[h]==0.20","Spillover",15,80
0.15,0.8,0.5,"spillover",0.0414543111518922,0.76,"eta[h]==0.50","Spillover",15,80
0.15,0.8,0.95,"spillover",0.0486082539782887,0.76,"eta[h]==0.95","Spillover",15,80
0.15,0.85,0.2,"spillover",0.0227830874947539,0.852,"eta[h]==0.20","Spillover",15,85
0.15,0.85,0.5,"spillover",0.0257849363896096,0.804,"eta[h]==0.50","Spillover",15,85
0.15,0.85,0.95,"spillover",0.0230859937209431,0.86,"eta[h]==0.95","Spillover",15,85
0.15,0.9,0.2,"spillover",0.0237608557207718,0.88,"eta[h]==0.20","Spillover",15,90
0.15,0.9,0.5,"spillover",0.0165530412592677,0.864,"eta[h]==0.50","Spillover",15,90
