"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0.1,0.7,0.2,"spillover",4.28966128145206e-05,0.996
0.1,0.7,0.5,"spillover",2.7097344194915e-05,1
0.1,0.7,0.95,"spillover",3.76012320763104e-05,0.998
0.1,0.75,0.2,"spillover",5.73109742772783e-05,0.992
0.1,0.75,0.5,"spillover",2.10080622345845e-05,1
0.1,0.75,0.95,"spillover",2.6691590811001e-05,1
0.1,0.8,0.2,"spillover",3.22023790609237e-05,1
0.1,0.8,0.5,"spillover",5.64971751412429e-06,1
0.1,0.8,0.95,"spillover",3.19324552781864e-05,0.998
0.1,0.85,0.2,"spillover",2.14338477977659e-05,0.998
0.1,0.85,0.5,"spillover",5.4945054945055e-06,1
0.1,0.85,0.95,"spillover",2.13029747619593e-05,0.998
0.1,0.9,0.2,"spillover",1.06958753673132e-05,1
0.1,0.9,0.5,"spillover",3.24759188884327e-05,0.998
0.1,0.9,0.95,"spillover",1.08549966860594e-05,1
0.1,0.95,0.2,"spillover",1.06893106893107e-05,1
0.1,0.95,0.5,"spillover",0,1
0.1,0.95,0.95,"spillover",1.59643979810564e-05,1
0.1,1,0.2,"spillover",0,1
0.1,1,0.5,"spillover",0,1
0.1,1,0.95,"spillover",0,1
0.15,0,0.2,"spillover",8.49372497073081e-05,0.998
0.15,0,0.5,"spillover",0.000101593978678232,0.998
0.15,0,0.95,"spillover",0.000123975605594858,0.998
0.15,0.05,0.2,"spillover",4.80366108715418e-05,0.998
0.15,0.05,0.5,"spillover",0.000166374515471766,0.988
0.15,0.05,0.95,"spillover",9.11313848901112e-05,0.992
0.15,0.1,0.2,"spillover",9.12131209912878e-05,1
0.15,0.1,0.5,"spillover",6.32425313374613e-05,0.996
0.15,0.1,0.95,"spillover",7.60257683849585e-05,0.992
0.15,0.15,0.2,"spillover",8.68702388874054e-05,0.994
0.15,0.15,0.5,"spillover",5.80549516809617e-05,0.996
0.15,0.15,0.95,"spillover",0.000118377763152416,0.998
0.15,0.2,0.2,"spillover",9.76098969427242e-05,0.992
0.15,0.2,0.5,"spillover",0.00010002925856883,0.994
0.15,0.2,0.95,"spillover",0.000127897400190853,0.992
0.15,0.25,0.2,"spillover",6.4425768658664e-05,1
0.15,0.25,0.5,"spillover",4.31193425618106e-05,1
0.15,0.25,0.95,"spillover",6.8491249438932e-05,0.998
0.15,0.3,0.2,"spillover",7.4177299663935e-05,1
0.15,0.3,0.5,"spillover",8.50178238358947e-05,1
0.15,0.3,0.95,"spillover",8.39787658110155e-05,0.992
