"","size","prop_ss","mean_prev"
"93",187.5,0.4,0.296620581519704
"94",187.5,0.45,0.322032253055733
"95",187.5,0.5,0.343491396091717
"96",187.5,0.55,0.34907773124951
"97",187.5,0.6,0.379617836174546
"98",187.5,0.65,0.376280007208672
"99",187.5,0.7,0.4025176768741
"100",187.5,0.75,0.413043882433154
"101",187.5,0.8,0.426561327526435
"102",187.5,0.85,0.463038755652467
"103",187.5,0.9,0.462978134649096
"104",187.5,0.95,0.483690441094003
"105",187.5,1,0.479184002548674
"106",225,0,0.149940882340322
"107",225,0.05,0.183927361116574
"108",225,0.1,0.210383028044124
"109",225,0.15,0.225505295454994
"110",225,0.2,0.261259158172405
"111",225,0.25,0.286988216242613
"112",225,0.3,0.304553905548429
"113",225,0.35,0.319419439954981
"114",225,0.4,0.349428770510397
"115",225,0.45,0.373545002310537
"116",225,0.5,0.389417097811476
"117",225,0.55,0.395229170573785
"118",225,0.6,0.42931316832081
"119",225,0.65,0.4381488969938
"120",225,0.7,0.455715439705664
"121",225,0.75,0.48780703368023
"122",225,0.8,0.495096394519798
"123",225,0.85,0.516553620233203
"124",225,0.9,0.528528056671388
"125",225,0.95,0.538055937290578
"126",225,1,0.543847400404827
"127",262.5,0,0.185065792656527
"128",262.5,0.05,0.216527136669373
"129",262.5,0.1,0.245370441907475
"130",262.5,0.15,0.256290098078446
"131",262.5,0.2,0.302093695914204
"132",262.5,0.25,0.306962138925403
"133",262.5,0.3,0.347520660413008
"134",262.5,0.35,0.372583350115254
"135",262.5,0.4,0.38315479081759
"136",262.5,0.45,0.413754244499846
"137",262.5,0.5,0.408801672176091
"138",262.5,0.55,0.444970228565887
"139",262.5,0.6,0.467265341330924
"140",262.5,0.65,0.488217440639273
"141",262.5,0.7,0.501771016289911
"142",262.5,0.75,0.533714772775105
"143",262.5,0.8,0.542281058042096
"144",262.5,0.85,0.567448895774513
"145",262.5,0.9,0.566426113524654
"146",262.5,0.95,0.594067682651115
"147",262.5,1,0.62686151486123
"148",300,0,0.203523927967137
"149",300,0.05,0.241816756951114
"150",300,0.1,0.270022000414029
"151",300,0.15,0.299786581578384
"152",300,0.2,0.31825647049042
"153",300,0.25,0.35571093011562
"154",300,0.3,0.379909527560935
"155",300,0.35,0.403652638295749
"156",300,0.4,0.424719023473078
"157",300,0.45,0.451681509870057
"158",300,0.5,0.467046980549425
"159",300,0.55,0.502351252605554
"160",300,0.6,0.513355232126741
"161",300,0.65,0.53966402058043
"162",300,0.7,0.541090909156849
"163",300,0.75,0.556972093938401
"164",300,0.8,0.581092029832367
"165",300,0.85,0.600464513662497
"166",300,0.9,0.636635131419796
"167",300,0.95,0.623229314816596
"168",300,1,0.633235178787225
"169",337.5,0,0.233638885961792
"170",337.5,0.05,0.276976739023669
"171",337.5,0.1,0.2995712392353
"172",337.5,0.15,0.336402384049794
"173",337.5,0.2,0.353054639496117
"174",337.5,0.25,0.393949198784888
"175",337.5,0.3,0.424465949051031
"176",337.5,0.35,0.45675451521422
"177",337.5,0.4,0.477212825564139
"178",337.5,0.45,0.50915979989586
"179",337.5,0.5,0.518879193831379
"180",337.5,0.55,0.534456237074966
"181",337.5,0.6,0.556085080444487
"182",337.5,0.65,0.585944763787716
"183",337.5,0.7,0.584573868922252
"184",337.5,0.75,0.607729131634357
"185",337.5,0.8,0.636914098120979
"186",337.5,0.85,0.660223837702378
"187",337.5,0.9,0.652135471273361
"188",337.5,0.95,0.667812861143111
"189",337.5,1,0.699182016915453
"190",375,0,0.263030842717512
"191",375,0.05,0.270866766493857
"192",375,0.1,0.329325200455946
"193",375,0.15,0.351795957359635
"194",375,0.2,0.39445414826186
"195",375,0.25,0.438117552258537
"196",375,0.3,0.448143419944467
"197",375,0.35,0.481442682886463
"198",375,0.4,0.489485726620349
"199",375,0.45,0.524395270159457
"200",375,0.5,0.545319155952902
"201",375,0.55,0.591008605091791
"202",375,0.6,0.585101885879416
"203",375,0.65,0.61142047922241
"204",375,0.7,0.617444020561508
"205",375,0.75,0.645771450831301
"206",375,0.8,0.663060153484844
"207",375,0.85,0.680995768298148
"208",375,0.9,0.683840718443048
"209",375,0.95,0.713143018732105
"210",375,1,0.723159315440842
"211",412.5,0,0.2820688873699
"212",412.5,0.05,0.309970900476714
"213",412.5,0.1,0.344090405640614
"214",412.5,0.15,0.397082947615032
"215",412.5,0.2,0.430279258871875
"216",412.5,0.25,0.4476441978789
"217",412.5,0.3,0.497537326588195
"218",412.5,0.35,0.510200614046118
"219",412.5,0.4,0.540852546771431
"220",412.5,0.45,0.554794865725115
"221",412.5,0.5,0.58067956514486
"222",412.5,0.55,0.594720165800451
"223",412.5,0.6,0.6204231918999
"224",412.5,0.65,0.644918765084153
"225",412.5,0.7,0.653252247621362
"226",412.5,0.75,0.66539121720561
"227",412.5,0.8,0.697551038849341
"228",412.5,0.85,0.69960568367692
"229",412.5,0.9,0.738624395678779
"230",412.5,0.95,0.750393089186322
"231",412.5,1,0.73946473501043
"232",450,0,0.29916122868319
"233",450,0.05,0.323458571109301
"234",450,0.1,0.394399076916761
"235",450,0.15,0.432991369529849
"236",450,0.2,0.453775547342159
"237",450,0.25,0.470426329161982
"238",450,0.3,0.519873745465356
"239",450,0.35,0.53337096457846
"240",450,0.4,0.56400246101143
