"size","prop_ss","mean_prev"
187.5,0.05,0.000187618785390691
187.5,0.1,0.000222608862824851
187.5,0.15,0.000256831422690087
187.5,0.2,0.000332512337070043
187.5,0.25,0.000314305332494787
187.5,0.3,0.000356805653535511
187.5,0.35,0.000396092537706952
187.5,0.4,0.000307417208700115
187.5,0.45,0.000428731626539829
187.5,0.5,0.000483764327513909
187.5,0.55,0.000434048716200125
187.5,0.6,0.000454327712979552
187.5,0.65,0.000619795725990969
187.5,0.7,0.000499338862329751
187.5,0.75,0.000615865356687735
187.5,0.8,0.000584660201208005
187.5,0.85,0.000655291150053405
187.5,0.9,0.000827858289220516
187.5,0.95,0.000670221596933815
187.5,1,0.00066885192079749
225,0,0.000147961259206072
225,0.05,0.000120491135977888
225,0.1,0.00023088001626526
225,0.15,0.000229731089210223
225,0.2,0.000186895304523882
225,0.25,0.000280325303009554
225,0.3,0.000343051604903049
225,0.35,0.000340927038116326
225,0.4,0.000302048730966131
225,0.45,0.000277296183106929
225,0.5,0.000272109804203282
225,0.55,0.000419915316208564
225,0.6,0.000376510319097469
225,0.65,0.000458130281425559
225,0.7,0.000471350120044694
225,0.75,0.000542206713527785
225,0.8,0.000504923927965416
225,0.85,0.000561845713308344
225,0.9,0.000575354283766239
225,0.95,0.000598248049771856
225,1,0.000701074735392261
262.5,0,9.84668764760478e-05
262.5,0.05,0.000117276043019091
262.5,0.1,0.000137479649915635
262.5,0.15,0.000196791504032215
262.5,0.2,0.000151785989981974
262.5,0.25,0.000256101978049736
262.5,0.3,0.000200252919370918
262.5,0.35,0.000218690174451046
262.5,0.4,0.000307475942936727
262.5,0.45,0.000301572353304605
262.5,0.5,0.000398528717921891
262.5,0.55,0.000324388256702157
262.5,0.6,0.000322613837690598
262.5,0.65,0.000387094905060049
262.5,0.7,0.000331534448634102
262.5,0.75,0.000450027594473756
262.5,0.8,0.000508029108774556
262.5,0.85,0.00040824243159567
262.5,0.9,0.000451362261542394
262.5,0.95,0.000462886467056081
262.5,1,0.000542516764888634
300,0,0.000106705562891187
300,0.05,0.000116025866020676
300,0.1,0.000142670486597784
300,0.15,0.000188971531341832
300,0.2,0.000224289456766108
300,0.25,0.000202344447556877
300,0.3,0.000278713181927824
300,0.35,0.000239284459469237
300,0.4,0.000295713663725657
300,0.45,0.000228395147040994
300,0.5,0.00023954611587402
300,0.55,0.00031585810927134
300,0.6,0.000370877455221692
300,0.65,0.000315533190952645
300,0.7,0.000388779534386102
300,0.75,0.000354075244699319
300,0.8,0.000350832265867208
300,0.85,0.00044406340635814
300,0.9,0.000523848064309438
300,0.95,0.000479858813247261
300,1,0.000483992006819975
337.5,0,9.55597740311175e-05
337.5,0.05,0.000102996012888554
337.5,0.1,8.92500310096353e-05
337.5,0.15,0.000107177522608583
337.5,0.2,0.000111640671695253
337.5,0.25,0.00015475244109101
337.5,0.3,0.000161533426910462
337.5,0.35,0.000189200823837661
337.5,0.4,0.000225109520950512
337.5,0.45,0.000238314474518744
337.5,0.5,0.000191752274732992
337.5,0.55,0.000252373566077157
337.5,0.6,0.00028166671761678
337.5,0.65,0.000323849355961463
337.5,0.7,0.000343773244825302
337.5,0.75,0.000322222403684989
337.5,0.8,0.00035663958423528
337.5,0.85,0.000351683025461471
337.5,0.9,0.000391470257605171
337.5,0.95,0.000391925960777763
337.5,1,0.000367513687652394
375,0,4.45534227780722e-05
375,0.05,6.91706901263063e-05
375,0.1,6.49425031409639e-05
375,0.15,0.000135462130754064
375,0.2,0.000117057804722555
375,0.25,0.000154947462363637
375,0.3,0.000165251997681412
375,0.35,0.000136161668383749
375,0.4,0.000183716374160586
375,0.45,0.00015485713761839
375,0.5,0.000193983379635723
