"size","num_exp","fadeout"
262.5,25,0
300,0,0.995850622406639
300,1,0.661701244813278
300,2,0.412423236514523
300,3,0.299278008298755
300,4,0.177784232365145
300,5,0.106929460580913
300,6,0.0622904564315353
300,7,0.0588547717842324
300,8,0.0189792531120332
300,9,0.0300497925311203
300,10,0.00487966804979253
300,11,0.0092448132780083
300,12,0.00912863070539419
300,13,0.00148547717842324
300,14,0.00463070539419087
300,15,0.00301244813278008
300,16,0.00144398340248963
300,17,0
300,18,0.00154356846473029
300,19,0
300,20,0
300,21,0.00132780082987552
300,22,0
300,23,0
300,24,0
300,25,0
337.5,0,0.995850622406639
337.5,1,0.640307053941909
337.5,2,0.414539419087137
337.5,3,0.275609958506224
337.5,4,0.170149377593361
337.5,5,0.1249377593361
337.5,6,0.0731203319502075
337.5,7,0.0525477178423236
337.5,8,0.0268464730290456
337.5,9,0.0301078838174274
337.5,10,0.0183983402489627
337.5,11,0.0120829875518672
337.5,12,0.0175269709543568
337.5,13,0.00281327800829876
337.5,14,0.00286307053941909
337.5,15,0.00164315352697095
337.5,16,0.00141908713692946
337.5,17,0
337.5,18,0
337.5,19,0
337.5,20,0
337.5,21,0
337.5,22,0
337.5,23,0
337.5,24,0
337.5,25,0
375,0,0.995850622406639
375,1,0.625941908713693
375,2,0.381917012448133
375,3,0.29151867219917
375,4,0.163726141078838
375,5,0.120414937759336
375,6,0.0946639004149378
375,7,0.0596680497925311
375,8,0.0249045643153527
375,9,0.0140331950207469
375,10,0.0138921161825726
375,11,0.0173941908713693
375,12,0.00281327800829876
375,13,0.00795850622406639
375,14,0.00610788381742739
375,15,0.00326141078838174
375,16,0.00151867219917012
375,17,0.00165145228215768
375,18,0
375,19,0
375,20,0.00308713692946058
375,21,0
375,22,0
375,23,0
375,24,0
375,25,0
412.5,0,0.995850622406639
412.5,1,0.614
412.5,2,0.362190871369295
412.5,3,0.26648132780083
412.5,4,0.184473029045643
412.5,5,0.120771784232365
412.5,6,0.0708381742738589
412.5,7,0.0353775933609959
412.5,8,0.0256680497925311
412.5,9,0.00903734439834025
412.5,10,0.0127883817427386
412.5,11,0.0145726141078838
412.5,12,0.00478838174273859
412.5,13,0.00439004149377593
412.5,14,0.00161825726141079
412.5,15,0.00264730290456432
412.5,16,0.00171784232365145
412.5,17,0
412.5,18,0
412.5,19,0.00151867219917012
412.5,20,0
412.5,21,0
412.5,22,0.00148547717842324
412.5,23,0.00151867219917012
412.5,24,0
412.5,25,0
450,0,0.995850622406639
