"size","num_exp","fadeout"
412.5,1,0.884381742738589
412.5,2,0.830232365145228
412.5,3,0.805576763485477
412.5,4,0.776058091286307
412.5,5,0.759402489626556
412.5,6,0.738605809128631
412.5,7,0.730340248962656
412.5,8,0.711103734439834
412.5,9,0.702356846473029
412.5,10,0.693294605809129
412.5,11,0.689435684647303
412.5,12,0.682323651452282
412.5,13,0.656763485477178
412.5,14,0.666124481327801
412.5,15,0.657726141078838
412.5,16,0.647120331950207
412.5,17,0.643078838174274
412.5,18,0.64501244813278
412.5,19,0.634946058091286
412.5,20,0.63898755186722
412.5,21,0.629302904564315
412.5,22,0.624497925311203
412.5,23,0.609095435684647
412.5,24,0.617593360995851
412.5,25,0.603029045643154
450,0,0.995850622406639
450,1,0.873435684647303
450,2,0.830780082987552
450,3,0.797385892116183
450,4,0.771502074688797
450,5,0.75450622406639
450,6,0.729526970954357
450,7,0.723460580912863
450,8,0.714970954356846
450,9,0.702082987551867
450,10,0.691659751037344
450,11,0.690331950207469
450,12,0.683502074688797
450,13,0.670248962655602
450,14,0.665875518672199
450,15,0.656265560165975
450,16,0.658829875518672
450,17,0.645510373443983
450,18,0.63045643153527
450,19,0.627070539419087
450,20,0.628149377593361
450,21,0.626655601659751
450,22,0.631684647302905
450,23,0.614522821576764
450,24,0.611460580912863
450,25,0.596340248962656
487.5,0,0.995850622406639
487.5,1,0.878705394190871
487.5,2,0.829087136929461
487.5,3,0.794390041493776
487.5,4,0.779792531120332
487.5,5,0.760124481327801
487.5,6,0.734464730290456
487.5,7,0.720406639004149
487.5,8,0.709228215767635
487.5,9,0.711087136929461
487.5,10,0.689751037344398
487.5,11,0.67698755186722
487.5,12,0.680813278008299
487.5,13,0.669792531120332
487.5,14,0.661767634854772
487.5,15,0.652008298755187
487.5,16,0.654813278008299
487.5,17,0.633178423236515
487.5,18,0.639186721991701
487.5,19,0.636655601659751
487.5,20,0.634290456431535
487.5,21,0.617941908713693
487.5,22,0.620688796680498
487.5,23,0.622954356846473
487.5,24,0.615634854771784
487.5,25,0.610954356846473
525,0,0.995850622406639
525,1,0.879867219917012
525,2,0.837908713692946
525,3,0.791941908713693
525,4,0.778074688796681
525,5,0.753485477178423
525,6,0.729991701244813
525,7,0.725269709543569
525,8,0.7070622406639
525,9,0.707211618257261
525,10,0.692746887966805
525,11,0.691261410788382
525,12,0.683585062240664
525,13,0.671029045643154
525,14,0.666323651452282
525,15,0.652622406639004
525,16,0.650539419087137
525,17,0.643551867219917
525,18,0.632788381742739
525,19,0.636763485477178
525,20,0.61795020746888
525,21,0.617576763485477
525,22,0.614165975103734
