"size","prop_ss","mean_prev"
375,0.65,0.665447541611515
375,0.7,0.706031861088931
375,0.75,0.712830408567488
375,0.8,0.741414214679494
375,0.85,0.741550980184136
375,0.9,0.762954633178664
375,0.95,0.772496260742578
375,1,0.785311881311238
412.5,0,0.290709052332803
412.5,0.05,0.345728698598277
412.5,0.1,0.397592677134297
412.5,0.15,0.419910760824418
412.5,0.2,0.4658677646562
412.5,0.25,0.495414902599761
412.5,0.3,0.538127062172179
412.5,0.35,0.55911143717224
412.5,0.4,0.599830197778093
412.5,0.45,0.616625152000504
412.5,0.5,0.642681206326292
412.5,0.55,0.676792116248447
412.5,0.6,0.6842139481582
412.5,0.65,0.716002916585397
412.5,0.7,0.758874098508565
412.5,0.75,0.745803186311889
412.5,0.8,0.779552649528936
412.5,0.85,0.791262142059868
412.5,0.9,0.801761143945255
412.5,0.95,0.821010267650532
412.5,1,0.828682385094134
450,0,0.308829638201133
450,0.05,0.387812949386711
450,0.1,0.432024665373769
450,0.15,0.496697654172766
450,0.2,0.517312151203279
450,0.25,0.545233054977522
450,0.3,0.565564653802208
450,0.35,0.627396887823369
450,0.4,0.62589030234343
450,0.45,0.662526509690891
450,0.5,0.692369139882513
450,0.55,0.735649161524982
450,0.6,0.741626868840694
450,0.65,0.766489526818323
450,0.7,0.771950196308287
450,0.75,0.79641348842455
450,0.8,0.818989454761069
450,0.85,0.839670674055625
450,0.9,0.869797778112218
450,0.95,0.863330359525802
450,1,0.880003167606702
487.5,0,0.354504761510739
487.5,0.05,0.421474272131637
487.5,0.1,0.458584523860996
487.5,0.15,0.504308397960578
487.5,0.2,0.560672135285064
487.5,0.25,0.594685071649652
487.5,0.3,0.621980874437676
487.5,0.35,0.664890794138389
487.5,0.4,0.689710307384057
487.5,0.45,0.705750848820883
487.5,0.5,0.720106684573539
487.5,0.55,0.76179693352913
487.5,0.6,0.794036792329091
487.5,0.65,0.804670143492259
487.5,0.7,0.815378797085757
487.5,0.75,0.826579746255699
487.5,0.8,0.846237161966435
487.5,0.85,0.866788144734167
487.5,0.9,0.876908098248364
487.5,0.95,0.871633839889089
487.5,1,0.899769524824889
525,0,0.384408508860261
525,0.05,0.441440979142425
525,0.1,0.498136364805192
525,0.15,0.538845381007107
525,0.2,0.607423259568328
525,0.25,0.647901057310343
525,0.3,0.661068265921759
525,0.35,0.684331050033486
525,0.4,0.732842147343937
525,0.45,0.741372687800065
525,0.5,0.78064746739643
525,0.55,0.796868314670474
525,0.6,0.821681569399394
525,0.65,0.842206150511171
525,0.7,0.852033588574839
525,0.75,0.866118351679049
525,0.8,0.883843658932494
525,0.85,0.89251895118533
525,0.9,0.90644749245049
525,0.95,0.926834499965613
525,1,0.924683989235844
562.5,0,0.437101281707341
562.5,0.05,0.481814568329767
562.5,0.1,0.55461477040738
562.5,0.15,0.575185271835477
562.5,0.2,0.639878371120985
562.5,0.25,0.657213001635556
562.5,0.3,0.699049317007216
562.5,0.35,0.734825859853045
562.5,0.4,0.761976284478093
562.5,0.45,0.796758312573324
562.5,0.5,0.811237030283141
562.5,0.55,0.834024249500607
562.5,0.6,0.851889343175103
562.5,0.65,0.865265942430664
562.5,0.7,0.883497625315899
562.5,0.75,0.887535255760031
562.5,0.8,0.907059602574335
562.5,0.85,0.91427164637372
562.5,0.9,0.925918803054416
562.5,0.95,0.932460052864797
562.5,1,0.943896997001441
600,0,0.440390832469334
600,0.05,0.510971736006745
600,0.1,0.561817281395201
600,0.15,0.633128730407104
600,0.2,0.674897082350844
600,0.25,0.695826458446895
600,0.3,0.745391329803017
600,0.35,0.776982671099124
600,0.4,0.780841441409611
600,0.45,0.80379327736302
600,0.5,0.827564945429959
600,0.55,0.866259968414839
600,0.6,0.884511985674544
600,0.65,0.895297990732821
600,0.7,0.897898310074978
600,0.75,0.916448729835976
600,0.8,0.929311163262427
600,0.85,0.939826368612024
600,0.9,0.941740112938437
600,0.95,0.946228693127033
600,1,0.964404553481845
637.5,0,0.472250171461752
637.5,0.05,0.549399784178898
637.5,0.1,0.616861035346113
637.5,0.15,0.636308372383215
637.5,0.2,0.702094247200675
637.5,0.25,0.743920019888075
637.5,0.3,0.767725452720224
637.5,0.35,0.791172663522557
637.5,0.4,0.827296563058592
637.5,0.45,0.841438959472796
637.5,0.5,0.872565624899589
637.5,0.55,0.875449908997246
637.5,0.6,0.896255384287693
637.5,0.65,0.917207816652631
637.5,0.7,0.920503846491318
637.5,0.75,0.934577927542118
637.5,0.8,0.946389978724299
637.5,0.85,0.946337488498004
637.5,0.9,0.957098478351006
637.5,0.95,0.964287635805541
637.5,1,0.969058430019393
675,0,0.526154716095768
675,0.05,0.561121779402094
675,0.1,0.648357385167174
675,0.15,0.690179806078164
