"size","pct_hunt","ss_cat","prev_ratio","fadeout"
333.333333333333,0.333333333333333,"high",0.298254103,0
333.333333333333,0.388888888888889,"low",0.318631136333333,0
333.333333333333,0.388888888888889,"med",0.3324667485,0
333.333333333333,0.388888888888889,"high",0.325655197333333,0
333.333333333333,0.444444444444444,"low",0.360186351333333,0
333.333333333333,0.444444444444444,"med",0.357305576166667,0
333.333333333333,0.444444444444444,"high",0.356506680833333,0
333.333333333333,0.5,"low",0.380692425,0
333.333333333333,0.5,"med",0.389961999666667,0
333.333333333333,0.5,"high",0.387654735,0
416.666666666667,0,"low",0,0
416.666666666667,0,"med",0,0
416.666666666667,0,"high",0,0
416.666666666667,0.0555555555555556,"low",0.050720995,0
416.666666666667,0.0555555555555556,"med",0.0585411966666667,0
416.666666666667,0.0555555555555556,"high",0.0518107866666667,0
