"","size","pct_hunt","prev_ratio","fadeout"
"90",125,0.25,0.179065885833333,0.193333333333333
"91",125,0.3,0.220236634222222,0.22
"92",125,0.35,0.233935249666667,0.173333333333333
"93",125,0.4,0.2696204045,0.163333333333333
"94",125,0.45,0.322285053388889,0.18
"95",125,0.5,0.319950497888889,0.176666666666667
"96",125,0.55,0.361565360333333,0.176666666666667
"97",125,0.6,0.363888433777778,0.18
"98",125,0.65,0.401198745444444,0.183333333333333
"99",125,0.7,0.413606765333333,0.193333333333333
"100",125,0.75,0.453072220777778,0.176666666666667
"101",125,0.8,0.435955138222222,0.2
"102",125,0.85,0.481135534611111,0.183333333333333
"103",125,0.9,0.482913857888889,0.206666666666667
"104",125,0.95,0.575615128166667,0.156666666666667
"105",125,1,0.509063772222222,0.176666666666667
"106",150,0,0,0.17
"107",150,0.05,0.0516288243333333,0.2
"108",150,0.1,0.0808164936666667,0.166666666666667
"109",150,0.15,0.128000455,0.183333333333333
"110",150,0.2,0.159034903944444,0.17
"111",150,0.25,0.188066186888889,0.17
"112",150,0.3,0.236665588277778,0.113333333333333
"113",150,0.35,0.231195882166667,0.206666666666667
"114",150,0.4,0.288530123944444,0.183333333333333
"115",150,0.45,0.305097335111111,0.186666666666667
"116",150,0.5,0.335744772444444,0.186666666666667
"117",150,0.55,0.3693447885,0.193333333333333
"118",150,0.6,0.378659225611111,0.223333333333333
"119",150,0.65,0.381501370333333,0.21
"120",150,0.7,0.435062124611111,0.176666666666667
"121",150,0.75,0.466176141055556,0.2
"122",150,0.8,0.455796349166667,0.22
"123",150,0.85,0.4798462935,0.16
"124",150,0.9,0.505635264166667,0.163333333333333
"125",150,0.95,0.540794916111111,0.153333333333333
"126",150,1,0.541410238777778,0.163333333333333
"127",175,0,0,0.123333333333333
"128",175,0.05,0.0502853316111111,0.103333333333333
"129",175,0.1,0.0845458618333333,0.116666666666667
"130",175,0.15,0.118347021777778,0.143333333333333
"131",175,0.2,0.169080907166667,0.106666666666667
