"size","pct_hunt","prev_ratio","fadeout"
300,0.1,0.0934048595333333,0.028
300,0.15,0.1304471246,0.028
300,0.2,0.180740606,0.036
300,0.25,0.213374194233333,0.028
300,0.3,0.244822453233333,0.046
300,0.35,0.282222342866667,0.032
300,0.4,0.315003208833333,0.028
300,0.45,0.3703915411,0.038
300,0.5,0.380269319366667,0.028
300,0.55,0.3993083847,0.038
300,0.6,0.442637854533333,0.02
300,0.65,0.459178041666667,0.036
300,0.7,0.487769588266667,0.038
300,0.75,0.508086982466667,0.038
300,0.8,0.531535392566667,0.03
300,0.85,0.538920349733333,0.044
300,0.9,0.568137585633333,0.042
300,0.95,0.596526956733333,0.028
300,1,0.616992168466667,0.038
325,0,0,0.014
325,0.05,0.0464127923333333,0.024
325,0.1,0.101090301333333,0.018
325,0.15,0.138799047666667,0.026
325,0.2,0.173252301566667,0.016
325,0.25,0.222909269666667,0.022
325,0.3,0.2554740704,0.014
325,0.35,0.2866270166,0.024
325,0.4,0.331314642,0.016
325,0.45,0.3542818252,0.018
325,0.5,0.383171720933333,0.018
325,0.55,0.404455654066667,0.016
325,0.6,0.435964458566667,0.02
325,0.65,0.467213163,0.022
325,0.7,0.512010804633333,0.012
325,0.75,0.511516943033333,0.038
325,0.8,0.533576962166667,0.034
325,0.85,0.5675795722,0.018
325,0.9,0.573200140333333,0.02
325,0.95,0.591375130633333,0.022
325,1,0.615824492866667,0.016
350,0,0,0.02
350,0.05,0.0460685143333333,0.024
350,0.1,0.0941516613333333,0.02
350,0.15,0.1331497874,0.014
350,0.2,0.1922144353,0.032
350,0.25,0.2211732707,0.018
350,0.3,0.247125337,0.026
350,0.35,0.2915924335,0.018
350,0.4,0.317915607233333,0.016
350,0.45,0.3472839008,0.024
350,0.5,0.379767590033333,0.026
350,0.55,0.416658923166667,0.02
350,0.6,0.443365926233333,0.028
350,0.65,0.4699063552,0.018
350,0.7,0.487289103233333,0.022
350,0.75,0.517689708133333,0.014
350,0.8,0.547108665866667,0.006
350,0.85,0.573546176133333,0.02
350,0.9,0.604790838233333,0.038
350,0.95,0.600933909966667,0.016
350,1,0.615396619833333,0.028
375,0,0,0.012
375,0.05,0.0458025083333333,0.01
375,0.1,0.0977360499666667,0.014
375,0.15,0.135618125733333,0.008
375,0.2,0.173590025666667,0.014
375,0.25,0.2217473329,0.012
375,0.3,0.257382241733333,0.016
375,0.35,0.2863094553,0.014
375,0.4,0.325449313733333,0.018
375,0.45,0.3525933142,0.016
375,0.5,0.3889183893,0.008
375,0.55,0.413858611366667,0.014
375,0.6,0.441572771133333,0.012
375,0.65,0.483614848166667,0.016
375,0.7,0.4925616818,0.008
375,0.75,0.5088451848,0.014
375,0.8,0.543928114966667,0.008
375,0.85,0.562554818566667,0.008
375,0.9,0.5920855277,0.004
375,0.95,0.605214798433333,0.022
